# generation	 best_loss	 avg_loss	 std_loss	 std_loss/sqrt(sol_per_pop)
0 2.1843492774445195 7.219627261111775 3.492425051630632 0.049390348735875965
1 2.295197581963737 4.7798992078694935 1.7468862239425134 0.02470470189822226
2 2.143051268985539 4.021551901429157 1.0629363606808175 0.01503219017214312
3 1.562242743180565 3.8124156875354607 1.032390152569542 0.01460020155424275
4 1.613657987341437 3.7503600211773795 1.1708303263577158 0.016558041267727988
5 1.5632207374499376 3.6960751723645604 1.1060910144363634 0.0156424891383492
6 1.5504584670145183 3.6395528765447036 1.134548559266987 0.016044939596862283
7 1.5365746293293219 3.559969596658981 1.1371148021550916 0.01608123175182929
8 1.5465088441714834 3.405225739903255 1.199439265512146 0.016962632765301005
9 1.5005047656777952 3.147811154188119 1.149114673310066 0.016250935557170235
10 1.521938741334827 2.8378488832461866 1.1710561855278039 0.016561235398743237
