# generation	 best_loss	 avg_loss	 std_loss	 std_loss/sqrt(sol_per_pop)
0 2.0240420871581484 5.60296191279631 0.8911767357083547 0.01992731761010245
1 1.961851945881429 4.973396703390148 0.7227564490531884 0.016161325512592927
2 1.8849886408314773 4.524345771430435 0.7716843953673427 0.01725538765217202
3 1.859622155189539 4.100406464232319 0.8386417487538492 0.018752599589829062
4 1.7871926506710982 3.7215132642339825 0.8502694749117014 0.01901260345095616
5 1.7753658337680929 3.3658837935533366 0.8876419592210948 0.019848277604994642
6 1.769340704970518 3.0971187983889266 0.8475940238124269 0.01895277854567162
7 1.8035099191533497 2.943009503006115 0.8630975070865936 0.019299446970562295
8 1.773877540152532 2.7927584200921056 0.8304010982768095 0.018568333043374293
9 1.7789858826385128 2.6887350875846017 0.8324944709634078 0.018615142279669046
10 1.7514429789723032 2.621698754236303 0.8234587678440761 0.01841309781567572
11 1.7218144332624232 2.520605505507139 0.8266733879160801 0.018484978905704084
12 1.7755800824191739 2.5260675748407566 0.8106044351999796 0.018125666199699776
13 1.7319084841590056 2.53246451131818 0.8343101927511414 0.01865574305312504
14 1.7827498212641193 2.5093232256281555 0.8373308773421461 0.01872328761396577
15 1.7674222235499717 2.4230655071898486 0.7848555852161334 0.017549904410636533
16 1.7737554509700582 2.35014709547074 0.7526128237255223 0.016828934345883343
17 1.7689862145354562 2.3825361524115096 0.8062520421243643 0.018028343731881023
18 1.7761156871063961 2.3590716970001444 0.7935721945455657 0.017744813720575726
19 1.763657684917941 2.3930832168961356 0.8282141542093809 0.018519431487396692
20 1.7500790838982698 2.3741447850583275 0.8122864436506327 0.01816327705204367
21 1.7426147843577662 2.3570383072770666 0.7762966650090747 0.017358521136666732
22 1.737779068781778 2.3558355838410288 0.7693352678457882 0.017202859563911904
23 1.7358837247091188 2.3629185241844115 0.7903722598413773 0.017673261005354466
24 1.7547379753439516 2.360989088060623 0.7785955214924134 0.017409925130339347
25 1.7505821838371471 2.367730705514862 0.802018662289375 0.017933682481024896
26 1.7451055922059664 2.3167728918953476 0.7832290386213085 0.01751353372309054
27 1.7418143325666724 2.338287656625907 0.791847941187318 0.017706258243380985
28 1.7452873495049086 2.3200106708207575 0.759455424229785 0.0169819395445874
29 1.7439898278753443 2.3652192837169603 0.8028077618541427 0.017951327283703255
30 1.7501655534612355 2.354703393299226 0.7815386401858144 0.0174757352649823
