# generation	 best_loss	 avg_loss	 std_loss	 std_loss/sqrt(sol_per_pop)
0 0.6700084164797361 3.415078161614768 1.2654737491492525 0.02829685326839245
1 0.7416641484796455 2.5878543724218144 1.0922358417159477 0.024423135895385594
2 0.6717720999862794 2.157164500825043 0.9557926289762214 0.021372172907840662
3 0.715113800225429 1.9166949358576197 0.8614073421861281 0.019261653734456048
4 0.6405942907118019 1.6913764339280544 0.76167577445601 0.01703158808498436
5 0.6652354568550897 1.503845160607433 0.7074589190602281 0.015819262343071915
6 0.6395320338175526 1.4299791156398391 0.6558860765868589 0.014666058527438498
7 0.6632175817528693 1.3552380938912532 0.6370904510231999 0.014245775563038755
8 0.6373442786145236 1.2987519361197661 0.6546015303634445 0.014637335200680545
9 0.6523348210067981 1.214014816697937 0.6018519986570002 0.013457819813911646
10 0.6604712524914188 1.1928818302547588 0.6089154275569577 0.013615762885657062
11 0.6134246223666426 1.122771682910192 0.5675039079593689 0.012689773156939328
12 0.5985176012933082 1.1011351419779392 0.5689494977193847 0.012722097526649058
13 0.6141269217631223 1.0590750892285012 0.49880543194047805 0.011153628533650537
14 0.6135400455609413 1.04272207227162 0.5181565998176316 0.011586333801823794
15 0.592828067079566 1.0297499288453063 0.4916038545765914 0.010992596368341793
16 0.5365422642240774 1.0493460213953174 0.5676694898773318 0.012693475681183427
17 0.627051401536344 1.0189237057839327 0.5349293167569463 0.011961383154260492
18 0.5923488518300252 0.9987304704321255 0.4921862097319724 0.011005618225486588
19 0.5805219549948575 1.0118491644027168 0.5227334833278363 0.01168867602836295
20 0.5753586753759409 1.0083934723798893 0.5204360134178769 0.011637303039413655
21 0.5759228199469758 1.013623546311257 0.5534728821736754 0.012376029882430696
22 0.5638797905293138 0.9801729853515047 0.580237912115364 0.012974514146125027
23 0.5825148778999931 0.9751999618695822 0.5055730113762307 0.011304956210265263
24 0.5735329406398344 0.9824371422402299 0.618564929954233 0.013831532318750606
25 0.5585554687634628 0.9739015863670514 0.5261138034668548 0.011764262284528518
26 0.5791036167345227 0.9544552764795755 0.5277488413771383 0.011800822843660349
27 0.5496643352287042 0.9382702545014158 0.4853018844975958 0.010851680033453756
28 0.5466751981150584 0.9492310671847997 0.5552655446977948 0.012416115035077169
29 0.5622104811283214 0.9209270931289188 0.48507839994791163 0.010846682767003608
30 0.5486034445514674 0.9367070352378792 0.5674237974685662 0.01268798183190787
