q,a,alpha,k,t_0,norm_A,fitness
0.40477246967869923,0.004851468799158634,1.4609831822438935,0.7698460932775367,0.10205341106381541,5609638.328372519,0.22613703087282114
0.02805317046043629,0.008208916001122014,1.5074431796396777,0.09398199156216916,0.49838018898758807,213607.887536257,0.09327448912203064
0.4424025958961273,0.4268886944287112,3.056758913472748,0.10011732497677665,35.99976231725597,4096929.810773068,0.2618389988552015
0.017590178487173955,0.006072338113315244,2.227438449428753,0.288658691201988,28.064666764934564,8170430.946813854,0.07612576272047218
0.09628267941316644,0.07804590044249443,1.7554427670541535,2.190562771110555,1.6597073172011194,8144794.775658166,0.1950913262791484
0.03726450021192753,0.0014699289999333147,2.918623026301059,1.6515728343336389,1.188845309367097,3902786.1129212403,0.10829514896844354
0.10828211217172662,0.006498967428454068,2.942345352666791,0.07462260098099097,11.644824087097895,92526873.27632788,0.16660289276604437
0.09885673089647243,0.2550656994072149,2.191571034476081,1.938266019154708,11.989225820549287,59304113.852494344,0.17281219864948613
0.44199857566548245,0.8414164680959271,2.848109491875303,0.17498642187757618,0.08247620393538697,192927.07905954384,0.2589042149709426
0.01711523170533841,0.003272536960605068,2.106234492589577,0.7903177651955307,3.1594319574789265,81642.58896016757,0.0774509799058552
0.025427797252885655,1.6626725218867675,3.0350034737046774,2.1575594009628927,0.19726294595904878,19065079.097479034,0.12687186868892147
0.02482336538832281,4.4614158371399455,3.0172635969253694,0.07968146128847237,23.855343690481433,5248116.209879986,0.08518922949024312
0.025324679564531234,0.0007147232201505042,1.1052946615838057,2.9814946956043022,0.7225982024001198,693166.9742719872,0.17867496085779833
0.32995219407971677,0.0005438021941480443,2.433669472699562,0.7825339874541961,0.07091819071252331,33570166.10674106,0.25404485156693146
0.16157603380387076,0.002687357269398886,1.1507715029309702,0.24342255531639065,27.193167928100024,1277146.3023476559,0.22855182069682595
0.3578318820415981,0.0039287351010982635,2.1978851055641697,0.6714687183795438,25.711913227766402,2150209.8668744946,0.2750338186749595
0.5484115098726318,0.01554268369072808,2.2234199261491647,0.3296509897641715,1.9036614696343652,1450210.7041380424,0.23489648479932834
0.563160130415069,0.06579958503519132,3.715302230160365,0.6678252464307772,6.096298224475374,3504002.0390387373,0.24387060810970912
0.6140593456596724,0.0040164601631404945,1.3671459271809272,0.936539152112764,0.27025371240020474,1204564.49469624,0.2038305695527185
0.01833827922847233,0.003022959335914222,2.1384869881125104,0.18989970797066455,8.182438772247691,54955498.05188412,0.07782042405282219
0.18487739958224053,0.607128757098881,3.6642512476465203,2.229126170827214,0.14815334415689688,129554.00284763589,0.24389871009091926
0.12710056091990055,0.818692734023456,1.5726150841162805,0.2068883038824052,5.624560128313337,889620.3873221519,0.19596180712616407
0.3040346126923493,4.087553458654891,1.2496447831206023,2.8411293905563273,3.921053960646253,50060966.86493346,0.24644451000094197
0.0953349795064875,0.0038950233195917516,1.6145426305859178,0.9352222221753106,0.06631515485173346,12004605.037987681,0.2156565456220306
0.011708938424249879,0.039458081475522364,3.2081222491395653,0.05633197960182932,0.2882886193213929,12199337.87636926,0.06619804402301144
0.05623205657982964,0.007251210182416886,2.6314743701444927,0.05355819792669179,0.7377171394871475,73926556.9870005,0.12106851778815389
0.0502203137088836,0.00477048782867322,2.9125212647273644,2.9922148488293407,0.11037857323587773,415395.3155940373,0.17360799097409027
0.01129593704283343,0.01824738739060397,2.3058307537285505,0.5700897544870929,1.7804492121669637,5894948.87251163,0.06685081042174126
0.2066160120916069,0.7436693389185901,1.868482227192224,1.1870969883964766,0.12469869441020512,14579011.402565287,0.261412358575999
0.07190102477152274,0.0006972235224314656,1.0688310137689194,0.19213847979967857,0.10280722630336142,459789.6431619889,0.15372332995655572
