# generation	 best_loss	 avg_loss	 std_loss	 std_loss/sqrt(sol_per_pop)
0 0.5195071241788534 3.504396134263635 1.207502752578866 0.027000582377844536
1 0.5409237680068114 2.8746957574717253 1.0487958121938434 0.023451787305825367
2 0.44474719515928374 2.453100548194727 1.060501475146717 0.02371353388666863
3 0.3954797627700438 2.19069633636298 1.0394950174508333 0.023243815212923933
4 0.43134167817899965 1.9147893695803264 0.9430156901301447 0.021086471869798812
5 0.47602125428271586 1.737387143508928 0.9259218244538335 0.020704241413293988
6 0.43081757661401576 1.534521618055272 0.872320050698343 0.019505669314975577
7 0.4357329190875311 1.356213172689755 0.8109905093778009 0.018134299080759433
8 0.43942937471052657 1.2632576005598026 0.7917331585078751 0.017703691624642245
9 0.4265880118221607 1.1902033394687885 0.7343439264794666 0.01642042938472195
10 0.4373361055116484 1.1436236665023394 0.7274637122343794 0.016266583117204178
11 0.41777539230596433 1.1179249915123954 0.703127177849422 0.01572240166498892
12 0.39483732603985133 1.0926888868854112 0.7064714572627279 0.015797182026027968
13 0.390807074200206 1.0527223804141685 0.6871251187252536 0.015364584745172806
14 0.42763236062126975 1.0042635829632551 0.659386167265863 0.014744322934295161
15 0.3737331788739792 0.9792306406847616 0.6846221407999485 0.015308616457301171
16 0.41666384899544845 0.9781171176505242 0.7020515733147907 0.015698350416425495
17 0.3830054838846655 0.9161259382609767 0.6434146813223884 0.014387189651582248
18 0.4066431906954552 0.8986759715393241 0.6575333881961714 0.01470289353482397
19 0.39882226776848356 0.8710014322668894 0.5982802024437623 0.013377952022565883
20 0.3943031262837964 0.8420806591732175 0.6016819325504165 0.013454017020161746
21 0.3928874754708899 0.8451776945830968 0.6139665904425436 0.013728710321433002
22 0.381631416263525 0.8451962773876415 0.6331500467105672 0.014157665444019953
23 0.37597851791112924 0.8350102787989975 0.6538940107221302 0.014621514580546594
24 0.3665476648603877 0.8081737746389884 0.6127435377081031 0.013701362030890242
25 0.3803110970097952 0.8047514536630709 0.644204285872941 0.014404845746086034
26 0.3675923911405418 0.8124105662729958 0.6629991832672131 0.014825112428123295
27 0.38780773285333286 0.7719119288796517 0.5664337104932168 0.012665842814102686
28 0.35932072375938484 0.7951364659698774 0.6335195329217771 0.014165927406870095
29 0.35766762297705357 0.7671214511323169 0.6278299743591479 0.014038705009790046
30 0.36778790692063285 0.7678418631980571 0.6277836286369629 0.014037668687937327
