# generation	 best_loss	 avg_loss	 std_loss	 std_loss/sqrt(sol_per_pop)
0 3.466180990438728 7.101146035267852 3.4349761324599335 0.07680840133269733
1 3.4849528907109577 4.810738141568771 1.7806421926891673 0.03981636986457257
2 3.479079927510347 4.045283121736509 1.0905288452755715 0.024384966294605282
3 3.4496697929902123 3.8158450938409407 0.9843385692608786 0.022010479537422092
4 3.4630416464959537 3.7618127197356026 1.010393184089886 0.022593078436274443
5 3.4512386545667564 3.7724381946076293 1.1891250148060823 0.026589643668518438
6 3.4585231845085036 3.7324210758866876 1.0826840948205085 0.024209552341764848
7 3.430664604159408 3.7604579597748327 1.2071785561784811 0.026993333125951324
8 3.4408069191712167 3.7293536969105854 1.136260848831449 0.025407564981587322
9 3.434434053854989 3.6891013920619944 1.0137401799820995 0.022667919539628458
10 3.443683869448673 3.7188170753106404 1.1955459615682118 0.026733220402918725
