# grb_name    s2n    total_cnts
00105    206.65785217285156    67539.9375
00109    360.1331787109375    440219.1875
00110    31.107219696044922    60373.94921875
00111    71.73319244384766    65346.8515625
00121    146.85911560058594    121694.515625
00130    310.63885498046875    256862.09375
00133    52.055519104003906    64359.4375
00143    747.6178588867188    1002285.4375
00148    44.71747970581055    87803.140625
00160    105.10811614990234    49847.890625
00179    70.0688705444336    9351.849609375
00211    21.544536590576172    34560.94921875
00214    36.531490325927734    21257.8515625
00219    402.7429504394531    254665.078125
00222    89.93734741210938    76062.484375
00226    243.34901428222656    242447.890625
00228    24.22562599182129    6026.3994140625
00237    24.42180824279785    16995.23046875
00249    932.6375122070312    1033091.875
00257    157.69053649902344    85785.390625
00332    114.17500305175781    50870.8125
00351    151.9782257080078    137828.078125
00394    369.54364013671875    389019.5625
00398    92.0251235961914    42925.0
00404    103.6261215209961    62247.9609375
00408    89.33827209472656    85665.640625
00414    23.67591094970703    3395.06005859375
00451    255.22158813476562    108274.484375
00467    118.14920806884766    33906.703125
00469    136.40472412109375    47605.6796875
00472    25.680110931396484    20067.048828125
00493    42.828033447265625    7645.72998046875
00501    44.130455017089844    9971.2705078125
00503    74.52684783935547    12771.8798828125
00516    51.26603317260742    15211.5087890625
00537    41.54004669189453    6238.98046875
00540    30.52763557434082    7907.359375
00543    223.9414520263672    76151.59375
00548    148.39239501953125    89193.4375
00555    20.44017219543457    1290.0
00563    122.24872589111328    70695.2890625
00577    58.468257904052734    29553.25
00591    45.974178314208984    33540.66015625
00594    31.264240264892578    51450.54296875
00606    72.3455810546875    29414.46875
00647    290.36236572265625    178797.5
00658    74.60106658935547    23155.01953125
00659    159.84048461914062    127576.265625
00660    123.331298828125    33411.765625
00676    312.0919494628906    239647.96875
00678    427.4823913574219    302798.375
00680    43.67103576660156    14035.5390625
00685    21.207223892211914    15640.029296875
00686    29.99994659423828    12069.1298828125
00692    32.64411926269531    24998.53125
00704    61.1065673828125    36380.96875
00711    38.10367965698242    5403.580078125
00752    18.037935256958008    12390.5595703125
00753    23.531869888305664    12998.099609375
00755    21.279708862304688    5197.97998046875
00761    208.2576446533203    187655.453125
00764    66.25154113769531    27781.990234375
00773    82.45222473144531    43269.2109375
00795    69.77497863769531    27245.681640625
00803    55.73427963256836    16360.5908203125
00815    49.706878662109375    21652.58984375
00816    43.013427734375    39947.359375
00820    20.46755027770996    34924.5
00824    32.321632385253906    52880.4375
00825    21.404720306396484    39157.94140625
00829    303.8720397949219    173772.328125
00840    50.402854919433594    16820.52734375
00841    119.94612121582031    51050.25
00867    73.0707015991211    15031.201171875
00869    99.9076156616211    98236.734375
00907    189.4020538330078    211537.640625
00914    77.0200424194336    17027.91015625
00938    63.59114074707031    32645.0390625
00973    352.5677490234375    242029.671875
00999    145.63990783691406    28206.640625
01025    164.05104064941406    40893.5234375
01036    67.87184143066406    91085.328125
01039    81.21800994873047    31179.06640625
01042    45.64152145385742    21025.140625
01046    59.81877136230469    39281.078125
01085    720.1886596679688    614570.3125
01114    99.49195098876953    25142.478515625
01120    28.965730667114258    58233.2109375
01122    378.6821594238281    235095.71875
01126    16.650611877441406    20973.158203125
01141    438.13885498046875    275652.6875
01145    42.52077102661133    7179.4501953125
01148    78.55139923095703    50716.546875
01150    90.93032836914062    66452.421875
01152    17.26284408569336    27151.6328125
01156    127.150390625    134962.5625
01157    253.11354064941406    127667.4375
01159    79.56736755371094    18988.16015625
01190    84.88631439208984    17968.443359375
01196    27.758926391601562    27759.51171875
01197    75.60108947753906    34721.3828125
01200    92.564208984375    44332.6171875
01204    23.795677185058594    4039.579833984375
01218    69.91043853759766    20905.44921875
01235    203.26345825195312    105716.140625
01244    69.229736328125    38642.1484375
01279    56.50080108642578    26244.890625
01288    361.9283142089844    467900.375
01291    60.437496185302734    23439.58984375
01303    61.41078567504883    30003.94921875
01385    310.6698303222656    218020.78125
01390    32.56234359741211    56813.078125
01396    57.36875534057617    27792.4296875
01406    161.23289489746094    73096.78125
01416    44.71153259277344    6734.4892578125
01425    219.1494140625    73923.96875
01432    54.77025604248047    53744.96875
01440    229.04949951171875    134638.046875
01443    91.12600708007812    16391.919921875
01446    28.433467864990234    51066.203125
01447    125.47332000732422    81745.03125
01449    68.21835327148438    36779.015625
01452    33.83012771606445    88031.1953125
01456    35.62946319580078    24321.740234375
01458    35.51521682739258    33495.66015625
01467    142.42417907714844    58207.84375
01468    111.69861602783203    53430.640625
01472    117.38529968261719    46757.94921875
01515    70.4189682006836    37511.73828125
01533    156.62246704101562    158113.78125
